               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10044,            0.036331,            0.029388,           0.0043163,             0.68654,            0.010201,           0.0029338,            0.078721,            0.023525,            0.028481,              0.0829,              0.0019,              0.0019
                   1,            0.073545,            0.040733,            0.026474,             0.18397,             0.30461,             0.16536,            0.050859,            0.062338,            0.020505,            0.024032,            0.064889,            0.003889,            0.003889
                   2,            0.063382,            0.033605,            0.025672,             0.22792,             0.46323,             0.22533,            0.075824,            0.058217,            0.017206,            0.022886,            0.046867,           0.0058666,           0.0058666
                   3,            0.062516,            0.030105,            0.025104,             0.22246,             0.35761,             0.24082,            0.082184,            0.065826,            0.014022,            0.022651,            0.028833,            0.007833,            0.007833
                   4,            0.061597,            0.028676,             0.02451,             0.27421,             0.56234,             0.27102,            0.092486,            0.070981,            0.012346,            0.022012,            0.010788,            0.009788,            0.009788
                   5,            0.061495,            0.027534,            0.024879,             0.36667,             0.55956,             0.38751,             0.14062,            0.055248,            0.012207,            0.022678,           0.0098586,           0.0098586,           0.0098586
                   6,            0.057422,            0.026454,            0.024517,             0.28711,             0.62955,             0.38205,             0.15714,            0.064046,            0.011404,            0.021771,           0.0098586,           0.0098586,           0.0098586
                   7,            0.052259,            0.024549,            0.024735,             0.37687,             0.64581,             0.44908,             0.15955,            0.052819,            0.011176,              0.0227,           0.0098303,           0.0098303,           0.0098303
                   8,             0.04839,            0.022524,            0.023242,             0.34778,             0.70531,             0.39634,              0.1751,            0.048814,            0.011459,            0.022021,            0.009802,            0.009802,            0.009802
                   9,            0.047639,            0.022555,            0.023714,             0.49334,             0.75695,             0.58089,             0.24838,            0.046555,            0.010457,            0.022017,           0.0097737,           0.0097737,           0.0097737
                  10,            0.046633,            0.023494,            0.022455,             0.39562,             0.74798,             0.53032,             0.21349,             0.04927,            0.011231,             0.02114,           0.0097454,           0.0097454,           0.0097454
                  11,            0.044741,            0.024355,            0.021253,             0.44919,             0.72665,             0.50912,             0.20336,             0.04567,            0.010687,            0.020702,           0.0097171,           0.0097171,           0.0097171
                  12,            0.043139,            0.022225,            0.020022,             0.60507,             0.72028,             0.66274,             0.30396,             0.04274,            0.010682,            0.019557,           0.0096889,           0.0096889,           0.0096889
                  13,            0.041538,            0.021685,            0.017948,             0.60084,             0.82238,              0.6882,             0.29858,            0.045258,             0.01055,            0.018182,           0.0096606,           0.0096606,           0.0096606
                  14,            0.040868,            0.024343,            0.017377,             0.58598,             0.78677,             0.70219,             0.31218,            0.044615,            0.010408,            0.017308,           0.0096323,           0.0096323,           0.0096323
                  15,            0.040078,            0.022715,            0.014746,             0.64972,             0.76112,             0.71366,             0.31683,            0.047397,            0.010643,            0.022359,            0.009604,            0.009604,            0.009604
                  16,            0.039293,            0.023881,            0.014768,              0.6331,             0.79761,             0.72889,             0.34482,            0.044293,            0.010359,            0.020058,           0.0095757,           0.0095757,           0.0095757
                  17,            0.038515,            0.021889,            0.013319,             0.67627,             0.75514,              0.7189,             0.30941,            0.045613,            0.010612,            0.026077,           0.0095474,           0.0095474,           0.0095474
                  18,            0.038502,            0.020929,            0.012785,             0.66097,             0.73881,             0.69388,             0.30835,            0.044303,             0.01066,            0.023235,           0.0095191,           0.0095191,           0.0095191
                  19,            0.039838,            0.021393,            0.010366,             0.71715,             0.67984,              0.7237,              0.3471,            0.043178,            0.011175,            0.024414,           0.0094909,           0.0094909,           0.0094909
                  20,            0.039461,            0.021446,              0.0109,             0.58411,             0.77235,              0.6699,             0.29618,            0.042329,            0.011078,            0.019609,           0.0094626,           0.0094626,           0.0094626
                  21,            0.037283,             0.01985,            0.011524,             0.70747,              0.6904,             0.71983,             0.32778,             0.04543,            0.011058,             0.02077,           0.0094343,           0.0094343,           0.0094343
